0	0	0	0
1	0	0	0
2	1	0	0
3	0	31887	881
4	0	31923	845
5	0	32026	742
6	0	32081	687
7	0	32150	618
8	0	32176	592
9	0	32204	563
10	0	32227	541
11	0	32284	484
12	0	32273	495
13	0	32297	471
14	0	32313	455
15	0	32358	410
16	0	32377	391
17	0	32403	365
18	0	32404	364
19	0	32394	374
20	0	32424	344
21	0	32450	318
22	0	32482	286
23	0	32447	321
24	0	32463	304
25	0	32467	301
26	0	32478	290
27	0	32509	259
28	0	32499	269
29	0	32536	232
30	0	32532	236
31	0	32535	233
32	0	32543	225
33	0	32541	227
34	0	32555	213
35	0	32583	185
36	0	32575	192
37	0	32576	192
38	0	32595	173
39	0	32595	173
40	0	32603	165
41	0	32585	183
42	0	32609	159
43	0	32595	173
44	0	32605	163
45	0	32617	151
46	0	32607	161
47	0	32599	169
48	0	32618	150
49	0	32634	134
50	0	32633	135
51	0	32628	140
52	0	32629	139
53	0	32646	122
54	0	32639	129
55	0	32659	109
56	0	32656	112
57	0	32674	94
58	0	32685	83
59	0	32698	70
60	0	32680	87
61	0	32713	55
62	0	32685	83
63	0	32691	77
64	0	32706	62
65	0	32688	81
66	0	32686	82
67	0	32683	85
68	0	32700	68
69	0	32710	58
70	0	32702	66
71	0	32723	45
72	0	32720	48
73	0	32714	54
74	0	32705	63
75	0	32733	35
76	0	32733	35
77	0	32741	27
78	0	32745	23
79	0	32748	20
80	0	32761	7
81	0	32721	47
82	0	32725	43
83	0	32738	30
84	0	32743	25
85	0	32739	29
86	0	32716	52
87	0	32720	48
88	0	32743	25
89	0	32708	60
90	0	32730	38
91	0	32718	50
92	0	32716	52
93	0	32722	46
94	0	32726	42
95	0	32747	21
96	0	32728	40
97	0	32746	22
98	0	32743	25
99	0	32731	37
100	0	32720	48
101	0	32733	35
102	0	32741	27
103	0	32734	34
104	0	32748	20
105	0	32743	25
106	0	32720	47
107	0	32750	18
108	0	32726	42
109	0	32709	59
110	0	32742	26
111	0	32746	22
112	0	32726	42
113	0	32726	42
114	0	32715	53
115	0	32721	47
116	0	32738	30
117	0	32720	48
118	0	32735	33
119	0	32749	19
120	0	32754	14
121	0	32721	47
122	0	32745	23
123	0	32747	21
124	0	32753	15
125	0	32753	15
126	0	32753	15
127	0	32753	15
